protein1_id	protein2_id	gene1	gene2	sources	hpa_datasets	gold_record_count	methods	publications	supporting_structures	n_ddi	n_dmi	ddi	dmi
O00257	Q9Y6K1	CBX4	DNMT3A	BioGRID		1	Reconstituted Complex	17439403		0	0		
O00268	P01106	TAF4	MYC	BioGRID		1	Reconstituted Complex	39820713		0	0		
O00268	P05412	TAF4	JUN	BioGRID		1	Reconstituted Complex	20557936		0	0		
O00268	P08047	TAF4	SP1	BioGRID		1	Reconstituted Complex	9343410		0	0		
O00268	P17544	TAF4	ATF7	BioGRID		1	Reconstituted Complex	15735663		0	0		
O00268	P20226	TAF4	TBP	BioGRID;Human Protein Atlas (HPA)	biogrid_opencell	1	Reconstituted Complex	19240132		0	0		
O00268	P21675	TAF4	TAF1	BioGRID;Human Protein Atlas (HPA)	biogrid_opencell	1	Reconstituted Complex	11564872		0	0		
O00268	P35869	TAF4	AHR	BioGRID		1	Reconstituted Complex	15641800		0	0		
O00268	P45973	TAF4	CBX5	BioGRID		1	Reconstituted Complex	11959914		0	0		
O00268	P49848	TAF4	TAF6	PDB		1	EM		7EGB;7EGC;7EGD;7EGE;7EGG;7EGI;7EGJ;7ENA;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	0	0		
O00268	Q03060	TAF4	CREM	BioGRID		1	Reconstituted Complex	10409662		0	0		
O00268	Q12962	TAF4	TAF10	PDB		1	EM		7EGD;7EGE;7EGG;7EGI;7EGJ	0	0		
O00268	Q15542	TAF4	TAF5	PDB		1	EM		7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	0	0		
O00268	Q16514	TAF4	TAF12	BioGRID;CORUM;Human Protein Atlas (HPA);IntAct;PDB	intact_biogrid_opencell	5	Co-crystal Structure;EM;Far Western;Reconstituted Complex;X-ray;affinity chromatography technology;x-ray crystallography	11564872;12237304;15601843	1H3O;6MZC;6MZD;6MZL;6MZM;7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	1	0	PF05236(Transcription initiation factor TFIID component TAF4, C-terminal)--PF03847(Transcription initiation factor TFIID subunit 12 domain)[pdb=29]	
O00268	Q16594	TAF4	TAF9	PDB		1	EM		7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	0	0		
O00268	Q5VWG9	TAF4	TAF3	PDB		1	EM		6MZD;6MZL;7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	1	0	PF05236(Transcription initiation factor TFIID component TAF4, C-terminal)--PF07524(Bromodomain associated domain)[pdb=25]	
O00268	Q7Z7C8	TAF4	TAF8	BioGRID;PDB		2	EM;Far Western	11564872	6MZC;6MZL;6MZM;7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	1	0	PF05236(Transcription initiation factor TFIID component TAF4, C-terminal)--PF07524(Bromodomain associated domain)[pdb=25]	
O00268	Q99081	TAF4	TCF12	BioGRID		1	Reconstituted Complex	15333839		0	0		
O00321	Q9Y4C1	ETV2	KDM3A	BioGRID		2	Reconstituted Complex	16619273		0	0		
O00327	O15516	BMAL1	CLOCK	CORUM;Human Protein Atlas (HPA);PDB	intact_biogrid	1	X-ray;electrophoretic mobility shift assay;two hybrid	9576906	4H10	3	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00989(PAS fold)[pdb=13] | PF13188(PAS domain)--PF13188(PAS domain)[pdb=17]	
O00327	Q16665	BMAL1	HIF1A	CORUM		0	electrophoretic mobility shift assay;two hybrid	9576906		2	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00989(PAS fold)[pdb=13]	
O00327	Q99743	BMAL1	NPAS2	CORUM;Human Protein Atlas (HPA)	intact_biogrid	0	electrophoretic mobility shift assay;two hybrid	9576906		3	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00989(PAS fold)[pdb=13] | PF13188(PAS domain)--PF13188(PAS domain)[pdb=17]	
O00327	Q99814	BMAL1	EPAS1	CORUM		0	electrophoretic mobility shift assay;two hybrid	9576906		2	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF13188(PAS domain)--PF13188(PAS domain)[pdb=17]	
O00422	P38919	SAP18	EIF4A3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00422	Q07955	SAP18	SRSF1	Human Protein Atlas (HPA)	intact_biogrid_bioplex	0				0	0		
O00422	Q15287	SAP18	RNPS1	BioGRID		2	Reconstituted Complex	22388736		0	0		
O00422	Q96ST3	SAP18	SIN3A	BioGRID		2	Reconstituted Complex	11960000;9651585		0	0		
O00422	Q9UKV3	SAP18	ACIN1	BioGRID;Human Protein Atlas (HPA)	biogrid_bioplex	2	Reconstituted Complex	22388736		0	0		
O00470	P28356	MEIS1	HOXD9	BioGRID		1	Reconstituted Complex	10523646		0	0		
O00470	P31269	MEIS1	HOXA9	BioGRID		2	Reconstituted Complex	10082572;9343407		0	0		
O00470	P31314	MEIS1	TLX1	BioGRID		1	Reconstituted Complex	16357834		0	0		
O00470	P40424	MEIS1	PBX1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	3	Reconstituted Complex	10082572;10373562;10523646		1	0	PF05920(KN homeodomain)--PF05920(KN homeodomain)[pdb=10]	
O00470	P40426	MEIS1	PBX3	BioGRID		1	Reconstituted Complex	25911551		1	0	PF05920(KN homeodomain)--PF05920(KN homeodomain)[pdb=10]	
O00479	O60814	HMGN4	H2BC12	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
O00479	P06899	HMGN4	H2BC11	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
O00479	Q8IUE6	HMGN4	H2AC21	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
O00482	P36956	NR5A2	SREBF1	BioGRID		1	Reconstituted Complex	17283069		0	0		
O00482	P51843	NR5A2	NR0B1	PDB		1	X-ray		4RWV	3	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF14046(Nuclear receptor repeat)[pdb=1] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16]	
O00482	Q12772	NR5A2	SREBF2	BioGRID		2	Reconstituted Complex	17283069		0	0		
O00482	Q15596	NR5A2	NCOA2	PDB		1	X-ray		1YOK;1ZDU;3PLZ;4DOS;4PLD;4PLE;5L11;5SYZ;6OQX;6OQY;6OR1;6VC2;6VIF;7JYD;7JYE;7TT8;8F8M	2	1	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	Q15596:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
O00482	Q92466	NR5A2	DDB2	BioGRID		1	Reconstituted Complex	30923324		0	0		
O00482	Q9UBK2	NR5A2	PPARGC1A	PDB		1	X-ray		5UNJ	0	1		Q9UBK2:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
O00482	Q9Y4B4	NR5A2	RAD54L2	BioGRID		1	Reconstituted Complex	19692572		0	0		
O00712	P00440	NFIB	T	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P08651	NFIB	NFIC	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	9099724		3	0	PF03165(MAD homology 1, Dwarfin-type)--PF03165(MAD homology 1, Dwarfin-type)[pdb=9] | PF03165(MAD homology 1, Dwarfin-type)--PF10524(CTF transcription factor/nuclear factor 1, N-terminal)[pdb=3] | PF10524(CTF transcription factor/nuclear factor 1, N-terminal)--PF03165(MAD homology 1, Dwarfin-type)[pdb=3]	
O00712	P11308	NFIB	ERG	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P23769	NFIB	GATA2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P26367	NFIB	PAX6	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P35712	NFIB	SOX6	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P41970	NFIB	ELK3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P48431	NFIB	SOX2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P50458	NFIB	LHX2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	P57682	NFIB	KLF3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	Q12952	NFIB	FOXL1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00712	Q14938	NFIB	NFIX	BioGRID		1	Reconstituted Complex	9099724		3	0	PF03165(MAD homology 1, Dwarfin-type)--PF03165(MAD homology 1, Dwarfin-type)[pdb=9] | PF03165(MAD homology 1, Dwarfin-type)--PF10524(CTF transcription factor/nuclear factor 1, N-terminal)[pdb=3] | PF10524(CTF transcription factor/nuclear factor 1, N-terminal)--PF03165(MAD homology 1, Dwarfin-type)[pdb=3]	
O00712	Q9Y603	NFIB	ETV7	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00716	P06400	E2F3	RB1	Human Protein Atlas (HPA)	intact_biogrid	0				1	1	PF16421(E2F transcription factor, CC-MB domain)--PF08934(Retinoblastoma-associated protein, C-terminal)[pdb=1]	O00716:LIG_RB_pABgroove_1--PF01858(Retinoblastoma-associated protein, A-box)
O00716	P08047	E2F3	SP1	BioGRID		1	Reconstituted Complex	8657141		0	0		
O00716	P19532	E2F3	TFE3	BioGRID		1	Reconstituted Complex	12748276		0	0		
O00716	Q6PL18	E2F3	ATAD2	BioGRID		1	Reconstituted Complex	20855524		0	0		
O00716	Q9NRZ9	E2F3	HELLS	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	22157815		0	0		
O00716	Q9UJW3	E2F3	DNMT3L	BioGRID		1	Reconstituted Complex	24952347		0	0		
O00716	Q9Y5K5	E2F3	UCHL5	BioGRID		1	Reconstituted Complex	26396186		0	0		
O14497	O75177	ARID1A	SS18L1	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O14497	O96019	ARID1A	ACTL6A	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O14497	P03372	ARID1A	ESR1	BioGRID		1	Reconstituted Complex	17363140		0	0		
O14497	P04637	ARID1A	TP53	BioGRID		1	Reconstituted Complex	21900401		0	0		
O14497	P06401	ARID1A	PGR	BioGRID		1	Reconstituted Complex	19609353		0	0		
O14497	P10276	ARID1A	RARA	BioGRID		1	Reconstituted Complex	17363140		0	0		
O14497	P10826	ARID1A	RARB	BioGRID		1	Reconstituted Complex	17363140		0	0		
O14497	P13631	ARID1A	RARG	BioGRID		1	Reconstituted Complex	17363140		0	0		
O14497	P15976	ARID1A	GATA1	BioGRID		1	Reconstituted Complex	11018012		0	0		
O14497	P51531	ARID1A	SMARCA2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14497	P51532	ARID1A	SMARCA4	Human Protein Atlas (HPA);PDB	intact_biogrid_opencell	1	EM		6LTH;6LTJ	0	0		
O14497	P60709	ARID1A	ACTB	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O14497	Q12824	ARID1A	SMARCB1	Human Protein Atlas (HPA);PDB	biogrid_opencell	1	EM		6LTH;6LTJ	2	0	PF01388(ARID DNA-binding domain)--PF04855(SNF5/SMARCB1/INI1)[pdb=1] | PF12031(SWI/SNF-like complex subunit BAF250, C-terminal)--PF21459(SWI/SNF Subunit INI1, DNA binding domain)[pdb=2]	
O14497	Q13351	ARID1A	KLF1	BioGRID		1	Reconstituted Complex	11018012		0	0		
O14497	Q13547	ARID1A	HDAC1	BioGRID		1	Reconstituted Complex	35390516		0	0		
O14497	Q14526	ARID1A	HIC1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14497	Q15788	ARID1A	NCOA1	BioGRID		1	Reconstituted Complex	17363140		0	0		
O14497	Q15910	ARID1A	EZH2	BioGRID		1	Reconstituted Complex	35210568		0	0		
O14497	Q8TAQ2	ARID1A	SMARCC2	Human Protein Atlas (HPA);PDB	biogrid_opencell	1	EM		6LTH;6LTJ	1	0	PF01388(ARID DNA-binding domain)--PF04433(SWIRM domain)[pdb=1]	
O14497	Q92782	ARID1A	DPF1	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O14497	Q92784	ARID1A	DPF3	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O14497	Q92785	ARID1A	DPF2	Human Protein Atlas (HPA);PDB	biogrid_opencell	1	EM		6LTH;6LTJ	0	0		
O14497	Q92922	ARID1A	SMARCC1	Human Protein Atlas (HPA)	biogrid_opencell	0				1	0	PF01388(ARID DNA-binding domain)--PF04433(SWIRM domain)[pdb=1]	
O14497	Q92925	ARID1A	SMARCD2	Human Protein Atlas (HPA)	intact_biogrid_opencell	0				0	0		
O14497	Q969G3	ARID1A	SMARCE1	Human Protein Atlas (HPA);PDB	biogrid_opencell	1	EM		6LTH;6LTJ	0	0		
O14497	Q96GM5	ARID1A	SMARCD1	Human Protein Atlas (HPA);PDB	biogrid_opencell	1	EM		6LTH;6LTJ	0	0		
O14503	P15172	BHLHE40	MYOD1	BioGRID		1	Reconstituted Complex	17487425		1	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92]	
O14503	P15923	BHLHE40	TCF3	BioGRID		1	Reconstituted Complex	9050988		1	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92]	
O14503	Q13547	BHLHE40	HDAC1	BioGRID		1	Reconstituted Complex	10737769		0	0		
O14503	Q8NB12	BHLHE40	SMYD1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14503	Q96ST3	BHLHE40	SIN3A	BioGRID		1	Reconstituted Complex	10737769		0	0		
O14607	Q04724	UTY	TLE1	BioGRID		1	Reconstituted Complex	9854018		0	0		
O14627	O43741	CDX4	PRKAB2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14628	Q13263	ZNF195	TRIM28	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O14646	O60341	CHD1	KDM1A	PDB		1	X-ray		5AFW	0	0		
O14646	P68431	CHD1	H3C1	PDB		1	X-ray		2B2V;2B2W	1	0	PF00385(Chromo domain)--PF00125(Core Histone H2A/H2B/H3 domain)[pdb=3]	
O14646	Q08945	CHD1	SSRP1	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O14686	O43151	KMT2D	TET3	PDB		1	NMR		8U2Y	0	0		
O14686	P03372	KMT2D	ESR1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14686	P10275	KMT2D	AR	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14686	P61964	KMT2D	WDR5	BioGRID;Human Protein Atlas (HPA);PDB	intact_biogrid	4	Co-crystal Structure;Reconstituted Complex;X-ray	22266653;24788516;27563068	3UVK;4ERQ	0	0		
O14686	Q04206	KMT2D	RELA	BioGRID		1	Reconstituted Complex	31676369		0	0		
O14686	Q15291	KMT2D	RBBP5	BioGRID		1	Reconstituted Complex	27563068		1	0	PF00856(SET domain)--PF00400(WD40 repeat)[pdb=14]	
O14686	Q76L83	KMT2D	ASXL2	PDB		1	NMR		9ATN	0	0		
O14686	Q9UBL3	KMT2D	ASH2L	BioGRID		3	Reconstituted Complex	16603732;26886794;27563068		1	0	PF00856(SET domain)--PF00622(SPRY domain)[pdb=11]	
O14709	Q13263	ZNF197	TRIM28	BioGRID		1	Reconstituted Complex	12682018		0	0		
O14744	O43189	PRMT5	PHF1	BioGRID		1	Reconstituted Complex	29846670		0	0		
O14744	O60674	PRMT5	JAK2	BioGRID		1	Reconstituted Complex	10531356		0	0		
O14744	P15172	PRMT5	MYOD1	BioGRID		1	Reconstituted Complex	19188441		0	0		
O14744	P15173	PRMT5	MYOG	BioGRID		1	Reconstituted Complex	19188441		0	0		
O14744	P31269	PRMT5	HOXA9	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14744	P38919	PRMT5	EIF4A3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14744	P41182	PRMT5	BCL6	BioGRID		1	Reconstituted Complex	30082494		0	0		
O14744	P50539	PRMT5	MXI1	BioGRID		1	Reconstituted Complex	35149174		0	0		
O14744	P51531	PRMT5	SMARCA2	BioGRID		2	Reconstituted Complex	14559996		0	0		
O14744	P51532	PRMT5	SMARCA4	BioGRID		2	Reconstituted Complex	14559996		0	0		
O14744	P54105	PRMT5	CLNS1A	BioGRID;CORUM;Human Protein Atlas (HPA);IntAct;PDB	intact_biogrid	6	EM;Reconstituted Complex;X-ray;affinity chromatography technology;cosedimentation through density gradient;pull down	11713266;11756452;19520849;9556550	6V0O;9E3A;9E3B	0	0		
O14744	P61964	PRMT5	WDR5	BioGRID		1	Reconstituted Complex	22689669		0	0		
O14744	P62805	PRMT5	H4C1	PDB		1	X-ray		4GQB	0	0		
O14744	P63104	PRMT5	YWHAZ	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14744	Q12824	PRMT5	SMARCB1	BioGRID		2	Reconstituted Complex	14559996		0	0		
O14744	Q14814	PRMT5	MEF2D	BioGRID		1	Reconstituted Complex	19188441		0	0		
O14744	Q8N8U2	PRMT5	CDYL2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14744	Q8TE85	PRMT5	GRHL3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O14744	Q92922	PRMT5	SMARCC1	BioGRID		1	Reconstituted Complex	14559996		0	0		
O14744	Q969G3	PRMT5	SMARCE1	BioGRID		1	Reconstituted Complex	14559996		0	0		
O14744	Q96ST3	PRMT5	SIN3A	BioGRID		2	Reconstituted Complex	14559996		0	0		
O14744	Q9BQA1	PRMT5	WDR77	BioGRID;Human Protein Atlas (HPA);IntAct;PDB	intact_biogrid	8	Co-crystal Structure;EM;X-ray;Reconstituted Complex;pull down	11756452;12972618;25713080;29518110;33624332	4GQB;4X60;4X61;4X63;5C9Z;5EMJ;5EMK;5EML;5EMM;5FA5;6CKC;6K1S;6RLL;6RLQ;6UGH;6UXX;6UXY;6V0N;6V0O;6V0P;7BO7;7KIB;7KIC;7KID;7L1G;7M05;7MX7;7MXA;7MXC;7MXG;7MXN;7S0U;7S1P;7S1Q;7S1R;7S1S;7SER;7SES;7U30;7UOH;7UY1;7UYF;7ZUP;7ZUQ;7ZUU;7ZUY;7ZV2;7ZVL;7ZVU;8CSG;8CTB;8CYI;8G1U;8VEO;8VET;8VEU;8VEW;8VEX;8VEY;8X6L;9C10;9DOD;9E3A;9E3B;9EYU;9EYV;9EYW;9EYX;9MGL;9MGM;9MGN;9MGP;9MGQ;9MGR;9MRE;9N3N;9N3O;9N3P;9N3Q;9N3R;9NWY	2	0	PF05185(PRMT5 arginine-N-methyltransferase)--PF00400(WD40 repeat)[pdb=1] | PF17285(PRMT5, TIM barrel domain)--PF00400(WD40 repeat)[pdb=124]	
O14744	Q9NZL3	PRMT5	ZNF224	BioGRID		1	Reconstituted Complex	19741270		0	0		
O14744	Q9Y6K1	PRMT5	DNMT3A	BioGRID		1	Reconstituted Complex	19234465		0	0		
O14757	P04637	CHEK1	TP53	Human Protein Atlas (HPA)	intact_biogrid	0				0	3		P04637:MOD_CDK_SPxxK_3--PF00069(Protein kinase domain) | P04637:MOD_CK1_1--PF00069(Protein kinase domain) | P04637:MOD_GSK3_1--PF00069(Protein kinase domain)
O14757	P06400	CHEK1	RB1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	17380128		0	2		P06400:MOD_CDK_SPK_2--PF00069(Protein kinase domain) | P06400:MOD_CDK_SPxK_1--PF00069(Protein kinase domain)
O14757	P06748	CHEK1	NPM1	BioGRID		2	Reconstituted Complex	19694479		0	1		P06748:MOD_CDK_SPK_2--PF00069(Protein kinase domain)
O14757	P38398	CHEK1	BRCA1	Human Protein Atlas (HPA)	intact_biogrid	0				0	1		P38398:MOD_PKB_1--PF00069(Protein kinase domain)
