protein1_id	protein2_id	gene1	gene2	complex_ids	complex_names	n_complexes_shared	evidence_in_ppi_graph	sources	methods	publications	supporting_structures	n_ddi	n_dmi	ddi	dmi
O00268	O15265	TAF4	ATXN7	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	O75486	TAF4	SUPT3H	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	O75528	TAF4	TADA3	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	O75529	TAF4	TAF5L	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	P49848	TAF4	TAF6	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	True	PDB	EM		7EGB;7EGC;7EGD;7EGE;7EGG;7EGI;7EGJ;7ENA;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	0	0		
O00268	Q12962	TAF4	TAF10	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	True	PDB	EM		7EGD;7EGE;7EGG;7EGI;7EGJ	0	0		
O00268	Q15393	TAF4	SF3B3	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	Q15542	TAF4	TAF5	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	True	PDB	EM		7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	0	0		
O00268	Q15545	TAF4	TAF7	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	Q16514	TAF4	TAF12	462;497;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TAF4-TAF12 subcomplex of TFIID complex;TFTC complex (TATA-binding protein-free TAF-II-containing complex)	3	True	BioGRID;CORUM;Human Protein Atlas (HPA);IntAct;PDB	Co-crystal Structure;EM;Far Western;Reconstituted Complex;X-ray;affinity chromatography technology;x-ray crystallography	11564872;12237304;15601843	1H3O;6MZC;6MZD;6MZL;6MZM;7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	1	0	PF05236(Transcription initiation factor TFIID component TAF4, C-terminal)--PF03847(Transcription initiation factor TFIID subunit 12 domain)[pdb=29]	
O00268	Q16594	TAF4	TAF9	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	True	PDB	EM		7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS	0	0		
O00268	Q6P1X5	TAF4	TAF2	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	Q92830	TAF4	KAT2A	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	Q9HBM6	TAF4	TAF9B	513	TFTC complex (TATA-binding protein-free TAF-II-containing complex)	1	False								
O00268	Q9Y4A5	TAF4	TRRAP	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00268	Q9Y6J9	TAF4	TAF6L	462;513	TFTC complex (TATA-binding protein-free TAF-II-containing complex);TFTC complex (TATA-binding protein-free TAF-II-containing complex)	2	False								
O00327	O15516	BMAL1	CLOCK	7272;9438;9620;9669	Core clock complex;BMAL1-CLOCK-NR3C1 complex;BMAL1-CLOCK-RARA complex;BMAL1-CLOCK-RXRA complex	4	True	CORUM;Human Protein Atlas (HPA);PDB	X-ray;electrophoretic mobility shift assay;two hybrid	9576906	4H10	3	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00989(PAS fold)[pdb=13] | PF13188(PAS domain)--PF13188(PAS domain)[pdb=17]	
O00327	P04150	BMAL1	NR3C1	9438	BMAL1-CLOCK-NR3C1 complex	1	False								
O00327	P10276	BMAL1	RARA	9619;9620	BMAL1-NPAS2-RARA complex;BMAL1-CLOCK-RARA complex	2	False								
O00327	P19793	BMAL1	RXRA	9665;9669	BMAL1-NPAS2-RXRA complex;BMAL1-CLOCK-RXRA complex	2	False								
O00327	Q16665	BMAL1	HIF1A	7273	ARNTL-HIF1A complex	1	True	CORUM	electrophoretic mobility shift assay;two hybrid	9576906		2	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00989(PAS fold)[pdb=13]	
O00327	Q99743	BMAL1	NPAS2	7271;9619;9665	ARNTL-NPAS2 complex;BMAL1-NPAS2-RARA complex;BMAL1-NPAS2-RXRA complex	3	True	CORUM;Human Protein Atlas (HPA)	electrophoretic mobility shift assay;two hybrid	9576906		3	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00989(PAS fold)[pdb=13] | PF13188(PAS domain)--PF13188(PAS domain)[pdb=17]	
O00327	Q99814	BMAL1	EPAS1	7274	ARNTL-EPAS1 complex	1	True	CORUM	electrophoretic mobility shift assay;two hybrid	9576906		2	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF13188(PAS domain)--PF13188(PAS domain)[pdb=17]	
O00422	O14497	SAP18	ARID1A	739	SIN3-ING1b complex II	1	False								
O00422	O75446	SAP18	SAP30	283;691;738;739	SIN3 complex;SIN3-SAP25 complex;SIN3-ING1b complex I;SIN3-ING1b complex II	4	False								
O00422	O96019	SAP18	ACTL6A	739	SIN3-ING1b complex II	1	False								
O00422	P51532	SAP18	SMARCA4	739	SIN3-ING1b complex II	1	False								
O00422	Q09028	SAP18	RBBP4	283;691;738;739	SIN3 complex;SIN3-SAP25 complex;SIN3-ING1b complex I;SIN3-ING1b complex II	4	False								
O00422	Q12824	SAP18	SMARCB1	739	SIN3-ING1b complex II	1	False								
O00422	Q13547	SAP18	HDAC1	283;691;738;739	SIN3 complex;SIN3-SAP25 complex;SIN3-ING1b complex I;SIN3-ING1b complex II	4	False								
O00422	Q16576	SAP18	RBBP7	283;691;738;739	SIN3 complex;SIN3-SAP25 complex;SIN3-ING1b complex I;SIN3-ING1b complex II	4	False								
O00422	Q4LE39	SAP18	ARID4B	691;738;739	SIN3-SAP25 complex;SIN3-ING1b complex I;SIN3-ING1b complex II	3	False								
O00422	Q8TAQ2	SAP18	SMARCC2	739	SIN3-ING1b complex II	1	False								
O00422	Q8TEE9	SAP18	SAP25	691	SIN3-SAP25 complex	1	False								
O00422	Q92769	SAP18	HDAC2	283;691;738;739	SIN3 complex;SIN3-SAP25 complex;SIN3-ING1b complex I;SIN3-ING1b complex II	4	False								
O00422	Q92922	SAP18	SMARCC1	739	SIN3-ING1b complex II	1	False								
O00422	Q96GM5	SAP18	SMARCD1	739	SIN3-ING1b complex II	1	False								
O00422	Q96ST3	SAP18	SIN3A	283;691;738;739	SIN3 complex;SIN3-SAP25 complex;SIN3-ING1b complex I;SIN3-ING1b complex II	4	True	BioGRID	Reconstituted Complex	11960000;9651585		0	0		
O00422	Q9H0E3	SAP18	SAP130	691	SIN3-SAP25 complex	1	False								
O00422	Q9H7L9	SAP18	SUDS3	691	SIN3-SAP25 complex	1	False								
O00422	Q9UK53	SAP18	ING1	738;739	SIN3-ING1b complex I;SIN3-ING1b complex II	2	False								
O00470	P09016	MEIS1	HOXD4	7705	HOXD4-MEIS1-PBX1 complex	1	False								
O00470	P28356	MEIS1	HOXD9	7706	HOXD9-MEIS1-PBX1 complex	1	True	BioGRID	Reconstituted Complex	10523646		0	0		
O00470	P28358	MEIS1	HOXD10	7707	HOXD10-MEIS1-PBX1 complex	1	False								
O00470	P31269	MEIS1	HOXA9	662;8218;8220	HOXA9-MEIS1-PBX2 complex;HOXA9-MEIS1-PBX1 complex;HOXA9-MEIS1-PBX3 complex	3	True	BioGRID	Reconstituted Complex	10082572;9343407		0	0		
O00470	P40424	MEIS1	PBX1	7705;7706;7707;8218	HOXD4-MEIS1-PBX1 complex;HOXD9-MEIS1-PBX1 complex;HOXD10-MEIS1-PBX1 complex;HOXA9-MEIS1-PBX1 complex	4	True	BioGRID;Human Protein Atlas (HPA)	Reconstituted Complex	10082572;10373562;10523646		1	0	PF05920(KN homeodomain)--PF05920(KN homeodomain)[pdb=10]	
O00470	P40425	MEIS1	PBX2	662	HOXA9-MEIS1-PBX2 complex	1	False								
O00470	P40426	MEIS1	PBX3	8220	HOXA9-MEIS1-PBX3 complex	1	True	BioGRID	Reconstituted Complex	25911551		1	0	PF05920(KN homeodomain)--PF05920(KN homeodomain)[pdb=10]	
O14497	O14744	ARID1A	PRMT5	711;713;714;803;806;807;808;3063;7372	Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;Brg1-associated complex II;BRD7-SWI–SNF complex	9	False								
O14497	O75446	ARID1A	SAP30	739	SIN3-ING1b complex II	1	False								
O14497	O96019	ARID1A	ACTL6A	238;555;566;711;713;714;739;803;806;807;808;1237;1251;1252;3063;7372	SWI-SNF chromatin remodeling-related-BRCA1 complex;BAF complex;BAF complex;Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;BAF complex;BAF complex;EBAFa complex;Brg1-associated complex II;BRD7-SWI–SNF complex	16	True	Human Protein Atlas (HPA)				0	0		
O14497	P38398	ARID1A	BRCA1	238	SWI-SNF chromatin remodeling-related-BRCA1 complex	1	False								
O14497	P51531	ARID1A	SMARCA2	238;711;714;806;808;1237;1251;7372	SWI-SNF chromatin remodeling-related-BRCA1 complex;Brm-associated complex;BRM-SIN3A complex;BRM-SIN3A-HDAC complex;BRM-associated complex;BAF complex;BAF complex;BRD7-SWI–SNF complex	8	True	Human Protein Atlas (HPA)				0	0		
O14497	P51532	ARID1A	SMARCA4	238;555;566;570;713;739;803;807;1237;1252;3063;7372	SWI-SNF chromatin remodeling-related-BRCA1 complex;BAF complex;BAF complex;p300-CBP-p270-SWI/SNF complex;BRG1-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRG1-associated complex;BAF complex;EBAFa complex;Brg1-associated complex II;BRD7-SWI–SNF complex	12	True	Human Protein Atlas (HPA);PDB	EM		6LTH;6LTJ	0	0		
O14497	P60709	ARID1A	ACTB	566	BAF complex	1	True	Human Protein Atlas (HPA)				0	0		
O14497	Q03111	ARID1A	MLLT1	1252	EBAFa complex	1	False								
O14497	Q09028	ARID1A	RBBP4	713;714;739	BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II	3	False								
O14497	Q09472	ARID1A	EP300	570;571	p300-CBP-p270-SWI/SNF complex;p300-CBP-p270 complex	2	False								
O14497	Q12824	ARID1A	SMARCB1	238;555;566;570;711;713;714;739;803;806;807;808;1237;1251;1252;3063	SWI-SNF chromatin remodeling-related-BRCA1 complex;BAF complex;BAF complex;p300-CBP-p270-SWI/SNF complex;Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;BAF complex;BAF complex;EBAFa complex;Brg1-associated complex II	16	True	Human Protein Atlas (HPA);PDB	EM		6LTH;6LTJ	2	0	PF01388(ARID DNA-binding domain)--PF04855(SNF5/SMARCB1/INI1)[pdb=1] | PF12031(SWI/SNF-like complex subunit BAF250, C-terminal)--PF21459(SWI/SNF Subunit INI1, DNA binding domain)[pdb=2]	
O14497	Q13547	ARID1A	HDAC1	714;739	BRM-SIN3A complex;SIN3-ING1b complex II	2	True	BioGRID	Reconstituted Complex	35390516		0	0		
O14497	Q16576	ARID1A	RBBP7	739	SIN3-ING1b complex II	1	False								
O14497	Q4LE39	ARID1A	ARID4B	739	SIN3-ING1b complex II	1	False								
O14497	Q6STE5	ARID1A	SMARCD3	713;714	BRG1-SIN3A complex;BRM-SIN3A complex	2	False								
O14497	Q8TAQ2	ARID1A	SMARCC2	238;555;566;570;711;713;714;739;803;806;807;808;1237;1251;1252;3063;7372	SWI-SNF chromatin remodeling-related-BRCA1 complex;BAF complex;BAF complex;p300-CBP-p270-SWI/SNF complex;Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;BAF complex;BAF complex;EBAFa complex;Brg1-associated complex II;BRD7-SWI–SNF complex	17	True	Human Protein Atlas (HPA);PDB	EM		6LTH;6LTJ	1	0	PF01388(ARID DNA-binding domain)--PF04433(SWIRM domain)[pdb=1]	
O14497	Q8WUB8	ARID1A	PHF10	7372	BRD7-SWI–SNF complex	1	False								
O14497	Q92769	ARID1A	HDAC2	713;714;739;803;806	BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex	5	False								
O14497	Q92793	ARID1A	CREBBP	570;571	p300-CBP-p270-SWI/SNF complex;p300-CBP-p270 complex	2	False								
O14497	Q92922	ARID1A	SMARCC1	238;555;566;570;711;713;714;739;803;806;807;808;1237;1251;1252;3063;7372	SWI-SNF chromatin remodeling-related-BRCA1 complex;BAF complex;BAF complex;p300-CBP-p270-SWI/SNF complex;Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;BAF complex;BAF complex;EBAFa complex;Brg1-associated complex II;BRD7-SWI–SNF complex	17	True	Human Protein Atlas (HPA)				1	0	PF01388(ARID DNA-binding domain)--PF04433(SWIRM domain)[pdb=1]	
O14497	Q92925	ARID1A	SMARCD2	238;555;713;714;806;808;1252	SWI-SNF chromatin remodeling-related-BRCA1 complex;BAF complex;BRG1-SIN3A complex;BRM-SIN3A complex;BRM-SIN3A-HDAC complex;BRM-associated complex;EBAFa complex	7	True	Human Protein Atlas (HPA)				0	0		
O14497	Q969G3	ARID1A	SMARCE1	238;555;566;711;713;714;803;806;807;808;1237;1251;1252;7372	SWI-SNF chromatin remodeling-related-BRCA1 complex;BAF complex;BAF complex;Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;BAF complex;BAF complex;EBAFa complex;BRD7-SWI–SNF complex	14	True	Human Protein Atlas (HPA);PDB	EM		6LTH;6LTJ	0	0		
O14497	Q96GM5	ARID1A	SMARCD1	555;566;711;713;714;739;803;806;807;808;1237;1251;1252;7372	BAF complex;BAF complex;Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;BAF complex;BAF complex;EBAFa complex;BRD7-SWI–SNF complex	14	True	Human Protein Atlas (HPA);PDB	EM		6LTH;6LTJ	0	0		
O14497	Q96ST3	ARID1A	SIN3A	713;714;739;803;806	BRG1-SIN3A complex;BRM-SIN3A complex;SIN3-ING1b complex II;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex	5	False								
O14497	Q9NPI1	ARID1A	BRD7	7372	BRD7-SWI–SNF complex	1	False								
O14497	Q9UK53	ARID1A	ING1	739	SIN3-ING1b complex II	1	False								
O14686	O15047	KMT2D	SETD1A	1401	MOF complex	1	False								
O14686	O15294	KMT2D	OGT	6460	MLL2 complex	1	False								
O14686	O15550	KMT2D	KDM6A	6467	MLL4 complex	1	False								
O14686	O75475	KMT2D	PSIP1	6460	MLL2 complex	1	False								
O14686	P21675	KMT2D	TAF1	1401	MOF complex	1	False								
O14686	P49848	KMT2D	TAF6	1401	MOF complex	1	False								
O14686	P51610	KMT2D	HCFC1	6460	MLL2 complex	1	False								
O14686	P61964	KMT2D	WDR5	1399;1401;6460;6467	WDR5-ASH2L-RBBP5-MLL2 complex;MOF complex;MLL2 complex;MLL4 complex	4	True	BioGRID;Human Protein Atlas (HPA);PDB	Co-crystal Structure;Reconstituted Complex;X-ray	22266653;24788516;27563068	3UVK;4ERQ	0	0		
O14686	Q03164	KMT2D	KMT2A	1401	MOF complex	1	False								
O14686	Q14686	KMT2D	NCOA6	6467	MLL4 complex	1	False								
O14686	Q15291	KMT2D	RBBP5	1399;1401;6340;6460;6467	WDR5-ASH2L-RBBP5-MLL2 complex;MOF complex;PITX2-MLL4-ASH2L-RBBP5-PTIP complex;MLL2 complex;MLL4 complex	5	True	BioGRID	Reconstituted Complex	27563068		1	0	PF00856(SET domain)--PF00400(WD40 repeat)[pdb=14]	
O14686	Q16594	KMT2D	TAF9	1401	MOF complex	1	False								
O14686	Q6ZW49	KMT2D	PAXIP1	6340;6467	PITX2-MLL4-ASH2L-RBBP5-PTIP complex;MLL4 complex	2	False								
O14686	Q99496	KMT2D	RNF2	1401	MOF complex	1	False								
O14686	Q99697	KMT2D	PITX2	6340	PITX2-MLL4-ASH2L-RBBP5-PTIP complex	1	False								
O14686	Q9BTK6	KMT2D	PAGR1	6467	MLL4 complex	1	False								
O14686	Q9C005	KMT2D	DPY30	6460;6467	MLL2 complex;MLL4 complex	2	False								
O14686	Q9H7Z6	KMT2D	KAT8	1401	MOF complex	1	False								
O14686	Q9UBL3	KMT2D	ASH2L	1399;6340;6460;6467	WDR5-ASH2L-RBBP5-MLL2 complex;PITX2-MLL4-ASH2L-RBBP5-PTIP complex;MLL2 complex;MLL4 complex	4	True	BioGRID	Reconstituted Complex	16603732;26886794;27563068		1	0	PF00856(SET domain)--PF00622(SPRY domain)[pdb=11]	
O14686	Q9Y5Z7	KMT2D	HCFC2	6460	MLL2 complex	1	False								
O14744	O96019	PRMT5	ACTL6A	711;713;714;803;806;807;808;3063;7372	Brm-associated complex;BRG1-SIN3A complex;BRM-SIN3A complex;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex;BRG1-associated complex;BRM-associated complex;Brg1-associated complex II;BRD7-SWI–SNF complex	9	False								
O14744	P10275	PRMT5	AR	9090	AR-CLNS1A-PRMT5-WDR77 complex	1	False								
O14744	P51531	PRMT5	SMARCA2	711;714;806;808;7372	Brm-associated complex;BRM-SIN3A complex;BRM-SIN3A-HDAC complex;BRM-associated complex;BRD7-SWI–SNF complex	5	True	BioGRID	Reconstituted Complex	14559996		0	0		
O14744	P51532	PRMT5	SMARCA4	713;803;807;3063;7372	BRG1-SIN3A complex;BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRG1-associated complex;Brg1-associated complex II;BRD7-SWI–SNF complex	5	True	BioGRID	Reconstituted Complex	14559996		0	0		
O14744	P54105	PRMT5	CLNS1A	836;2838;9090	20S methyltransferase core complex;MEP50-PRMT5-ICLN complex;AR-CLNS1A-PRMT5-WDR77 complex	3	True	BioGRID;CORUM;Human Protein Atlas (HPA);IntAct;PDB	EM;Reconstituted Complex;X-ray;affinity chromatography technology;cosedimentation through density gradient;pull down	11713266;11756452;19520849;9556550	6V0O;9E3A;9E3B	0	0		
O14744	Q09028	PRMT5	RBBP4	713;714	BRG1-SIN3A complex;BRM-SIN3A complex	2	False								
